,id,settled_value,absError
0,1162,1.0,0.06988656999999998
1,297,0.0,0.44216797
2,699,1.0,0.010000000000000009
3,748,1.0,0.13
4,965,0.0,NA
5,960,0.0,NA
6,955,0.0,NA
7,718,0.0,0.014232228
8,1073,0.0,0.01
9,971,1.0,0.22351104
10,875,1.0,0.012404259999999945
11,876,0.0,0.99
12,1111,0.0,0.01
13,1118,1.0,0.19999999999999996
14,488,1.0,0.3599998
15,1126,0.0,0.008143494
16,1097,1.0,0.99
17,206,1.0,0.020000000000000018
18,352,1.0,0.33000004000000005
19,584,0.0,0.4
20,294,0.0,0.4308052
21,300,0.0,0.3553192
22,1340,0.0,0.04999999
23,360,0.0,0.05
24,705,0.0,0.014232225
25,426,1.0,0.98
26,610,0.0,0.7885184
27,763,0.0,0.57786286
28,1086,0.0,0.2
29,1060,0.0,0.29500002
30,1357,0.0,0.04000003
31,1345,0.0,0.049999993
32,1075,0.0,0.000100000005
33,1171,0.0,0.020000001
34,552,0.0,0.04
35,144,0.0,0.020000001
36,1030,0.0,0.51
37,1115,0.0,0.9
38,1157,0.0,0.032903485
39,1297,0.0,NA
40,1327,0.0,0.10000002
41,1351,1.0,0.81
42,1029,0.0,0.01
43,733,0.0,0.01
44,529,0.0,0.94000006
45,1139,0.0,0.01
46,495,0.0,0.44285703
47,1337,0.0,0.17999998
48,1339,0.0,0.010000002
49,1156,0.0,0.041048303
50,880,0.0,0.010000002
51,477,1.0,0.44857174
52,877,1.0,0.050000000000000044
53,1167,0.0,0.020000001
54,343,1.0,0.020000099999999965
55,1031,0.0,0.010000001
56,980,0.0,NA
57,867,1.0,0.010000000000000009
58,494,1.0,0.4542862
59,1352,1.0,0.8
60,155,1.0,0.306901
61,1055,0.0,0.01
62,1095,0.0,0.049999997
63,1104,1.0,0.20326270000000002
64,1109,0.0,0.019999998
65,1136,0.0,0.008193319
66,448,0.0,0.85
67,256,1.0,0.014856699999999945
68,1040,0.0,0.009999999
69,1064,0.0,0.001
70,1141,0.0,0.32999998
71,1023,0.0,0.019999994
72,1355,0.0,0.099999994
73,1124,1.0,0.06999993000000004
74,1103,0.0,0.25
75,1356,0.0,0.029999996
76,1036,0.0,0.010000001
77,1094,0.0,0.010000002
78,642,1.0,0.5887443
79,518,1.0,0.41427934
80,528,1.0,0.4400178
81,290,0.0,0.616621
82,624,0.0,0.014232225
83,1056,0.0,0.010000001
84,1151,1.0,0.010004000000000013
85,1266,0.0,NA
86,574,0.0,0.7315788
87,950,0.0,NA
88,129,1.0,0.021360929999999945
89,975,0.0,0.41377553
90,1232,0.0,0.58
91,1061,0.0,0.01
92,416,0.0,0.010000001
93,1091,0.0,0.010000001
94,1143,0.0,0.1
95,739,0.0,0.13000001
96,511,0.0,0.085744284
97,1032,1.0,0.00999992999999999
98,417,0.0,0.99
99,941,0.0,0.88000005
100,1142,1.0,0.40000004
101,1160,0.0,0.17713538
102,1130,1.0,0.037301200000000034
103,1106,0.0,0.10000001
104,649,1.0,0.12
105,596,1.0,0.38709669999999996
106,1026,0.0,0.010000001
107,838,0.0,0.245
108,633,0.0,0.019999998
109,77,1.0,0.4241249
110,944,0.0,0.23373011
111,1333,0.0,0.06999996
112,1332,0.0,0.050000057
113,956,0.0,0.4806286
114,928,0.0,0.3846156
115,1303,0.0,NA
116,1375,0.0,NA
117,523,1.0,0.35428550000000003
118,1047,0.0,0.009999998
119,215,0.0,0.46700376
120,130,1.0,0.25
121,1334,0.0,0.009999996
122,600,0.0,0.3842105
123,1099,1.0,0.44999999999999996
124,741,0.0,0.009999998
125,861,0.0,9.999999e-05
126,1341,0.0,0.04
127,961,1.0,0.49640834
128,1354,1.0,0.010000000000000009
129,1117,0.0,0.20000002
130,514,1.0,0.26571540000000005
131,986,0.0,0.3000004
132,464,0.0,0.11
133,1127,1.0,0.990000001
134,563,0.0,0.0026315642
135,981,0.0,0.26527184
136,966,0.0,0.4312202
137,515,1.0,0.36285789999999996
138,491,1.0,0.32285845
139,1113,0.0,9.999999e-05
140,1068,0.0,0.010000001
141,1163,0.0,0.008154384
142,420,1.0,0.03691999999999995
143,1161,0.0,0.014142136
144,166,0.0,NA
145,429,1.0,0.23999994999999996
146,687,0.0,0.008019839
147,1087,0.0,0.01
148,1085,0.0,0.0015314043
149,1101,0.0,0.01
150,1119,0.0,0.009999999
151,405,1.0,0.020000000000000018
152,1058,1.0,0.15999997
153,355,1.0,0.85000001
154,698,1.0,0.010000000000000009
155,710,0.0,0.060000002
156,1344,0.0,0.45333332
157,1349,0.0,0.41935465
158,1038,1.0,9.999999999998899e-05
159,1346,0.0,0.31
160,1347,1.0,0.3000001
161,268,1.0,0.56602207
162,145,0.0,0.009999999
163,560,0.0,0.21922867
164,951,0.0,0.33756348
165,493,1.0,0.36571485000000004
166,9,1.0,0.059999939999999974
167,702,0.0,0.060000002
168,13,1.0,0.05933290000000002
169,570,0.0,0.7315789
170,1164,0.0,0.009999999
171,404,1.0,0.020000000000000018
172,898,1.0,0.4166666
173,288,0.0,0.4146302
174,1037,0.0,0.01
175,780,0.0,NA
176,801,1.0,0.020000000000000018
177,469,0.0,9.999999e-05
178,738,0.0,0.30102044
179,1132,1.0,0.09999999999999998
180,728,0.0,0.055999994
181,247,0.0,0.5
182,245,1.0,0.24999994000000003
183,1217,0.0,NA
184,237,0.0,0.43999964
185,1,1.0,0.07875465999999998
186,79,0.0,0.005436595
187,580,0.0,0.01
188,588,0.0,0.049090277
189,783,0.0,0.041518178
190,226,1.0,0.34106709999999996
191,985,0.0,NA
192,154,1.0,0.020000000000000018
193,1129,0.0,0.009999999
194,573,0.0,0.5736833
195,1039,0.0,0.007744149
196,976,0.0,NA
197,764,1.0,0.30000020000000005
198,970,0.0,NA
199,520,1.0,0.411415
200,791,0.0,0.034945257
201,375,1.0,0.030149160000000008
202,945,0.0,NA
203,1096,1.0,0.967823
204,126,1.0,0.80999997
205,521,0.0,0.2599998
206,403,1.0,0.9
207,852,0.0,NA
208,407,1.0,0.06564939999999997
209,328,1.0,0.028886140000000005
210,1034,0.0,0.0001
211,674,0.0,0.00801782
212,810,0.0,NA
213,839,0.0,0.016666671
214,143,1.0,0.009616260000000043
215,819,0.0,0.010000001
216,202,0.0,0.009999999
217,487,0.0,0.465714
218,168,1.0,0.04436269999999998
219,207,1.0,0.78
220,160,1.0,0.009507500000000002
221,186,1.0,0.5300002699999999
222,551,0.0,0.022838825
223,559,0.0,0.84000003
224,601,0.0,0.1157894
225,203,1.0,0.08944136000000003
226,592,0.0,0.39999992
227,527,1.0,0.36571175
228,516,1.0,0.1200023
229,671,1.0,0.007218240000000042
230,707,0.0,0.10000001
231,278,1.0,0.4467671
232,700,0.0,0.007612162
233,677,0.0,0.19607845
234,499,1.0,0.44571483
235,670,0.0,0.020000001
236,1092,0.0,0.25
237,486,0.0,0.35714436
238,513,1.0,0.43144506000000005
239,1052,0.0,0.000100000005
240,233,0.0,0.8043827
241,260,0.0,0.5
242,255,1.0,0.13000005000000003
243,1044,0.0,0.040000003
244,389,0.0,0.05172414
245,1140,1.0,0.30081899999999995
246,522,0.0,0.42000154
247,354,0.0,0.02
248,525,1.0,0.34856940000000003
249,339,1.0,0.40830714
250,750,1.0,9.80000000000425e-05
251,127,0.0,0.009999999
252,340,1.0,NA
253,373,0.0,0.15000007
254,347,0.0,0.040000003
255,246,1.0,0.36359364000000005
256,385,1.0,0.54999995
257,264,1.0,0.47470199999999996
258,476,0.0,0.49428797
259,716,0.0,0.1
260,374,0.0,0.007984777
261,419,0.0,0.009999998
262,396,0.0,0.000100000005
263,395,1.0,0.16974794999999998
264,292,0.0,0.30999997
265,1093,0.0,0.010000001
266,789,1.0,0.010000000000000009
267,567,1.0,NA
268,408,0.0,0.02999999
269,878,1.0,0.08000004000000005
270,324,1.0,0.007489140000000005
271,423,1.0,0.50731674
272,437,0.0,0.13
273,296,0.0,0.69999975
274,434,0.0,0.009999997
275,460,1.0,0.07805490000000004
276,465,1.0,0.010000000000000009
277,293,0.0,0.27047583
278,5,0.0,0.51
279,479,1.0,0.42856439999999996
280,1218,0.0,NA
281,452,1.0,0.010000000000000009
282,157,0.0,0.0002077065
283,1131,1.0,0.050000000000000044
284,14,0.0,0.24192666
285,326,0.0,0.019999998
286,939,1.0,0.020000039999999997
287,480,1.0,0.454284
288,897,0.0,0.42857146
289,781,0.0,0.045454547
290,519,0.0,0.48285738
291,660,0.0,0.09000001
292,656,1.0,0.97
293,418,0.0,0.004871337
294,12,0.0,9.999999e-05
295,345,0.0,0.05492653
296,401,0.0,0.008088645
297,224,0.0,0.040000003
298,598,0.0,0.29032257
299,854,0.0,0.010000001
300,497,0.0,0.43999842
301,17,0.0,0.25000003
302,474,1.0,0.4142886
303,20,1.0,0.11497179999999996
304,425,0.0,0.02
305,22,1.0,0.09437114000000002
306,842,1.0,0.31000006
307,597,0.0,0.15263166
308,509,0.0,0.02
309,990,0.0,NA
310,323,1.0,0.31000000000000005
311,1108,1.0,0.71
312,306,0.0,0.3999992
313,922,1.0,0.07142859999999995
314,899,0.0,0.01
315,526,0.0,0.4971431
316,367,1.0,NA
317,856,0.0,0.019999998
318,625,0.0,0.009999999
319,131,1.0,0.85
320,185,0.0,0.028578345
321,1042,1.0,0.08567417
322,15,0.0,0.15499999
323,583,0.0,0.009999999
324,672,0.0,0.01
325,346,1.0,0.050000000000000044
326,305,0.0,0.21999998
327,358,0.0,0.04
328,611,1.0,0.15000004
329,766,1.0,0.4
330,102,0.0,0.000100000005
331,376,0.0,0.040000003
332,602,0.0,0.7315785
333,195,0.0,0.040000003
334,870,0.0,NA
335,765,0.0,0.5199999
336,390,1.0,0.049999950000000015
337,462,1.0,0.060175659999999964
338,214,0.0,0.42617956
339,815,1.0,0.010000000000000009
340,10,0.0,0.1609251
341,231,0.0,0.040000003
342,593,0.0,0.25806454
343,715,1.0,9.393999999995906e-05
344,468,0.0,0.0141454805
345,232,1.0,0.050000000000000044
346,536,0.0,0.0001
347,1022,0.0,0.01
348,196,1.0,0.050000000000000044
349,298,0.0,0.28999993
350,855,0.0,0.10440877
351,881,0.0,NA
352,221,0.0,0.3087424
353,1065,0.0,0.01
354,643,1.0,0.049999950000000015
355,606,0.0,0.30526313
356,498,1.0,0.2857124
357,595,0.0,0.15263166
358,747,0.0,0.18367344
359,575,0.0,0.5126636
360,737,0.0,0.010000001
361,1100,0.0,0.16192828
362,693,0.0,0.06
363,1155,0.0,0.01
364,128,0.0,0.0102451
365,470,1.0,0.2999965
366,761,0.0,0.15384614
367,1128,0.0,0.04
368,894,0.0,0.010000001
369,263,1.0,0.46041477
370,444,0.0,0.011640539
371,572,0.0,0.27368426
372,338,0.0,0.014595478
373,704,0.0,0.009999999
374,619,0.0,NA
375,262,1.0,0.57999998
376,173,0.0,0.020000001
377,818,1.0,0.010000000000000009
378,239,0.0,0.58548796
379,786,0.0,0.035580568
380,667,1.0,0.007848140000000003
381,454,0.0,0.01
382,937,0.0,0.009999998
383,252,0.0,0.5686549
384,281,0.0,0.4305227
385,1041,0.0,0.02
386,463,0.0,NA
387,359,0.0,0.014577434
388,219,1.0,0.58112252
389,507,1.0,0.6
390,218,1.0,0.50129464
391,778,1.0,0.1332721
392,341,0.0,0.2834728
393,205,0.0,0.014258622
394,234,0.0,0.4697351
395,191,0.0,0.040000003
396,190,1.0,0.014258560000000031
397,386,0.0,0.010000001
398,785,1.0,0.365
399,213,0.0,0.009999999
400,447,1.0,0.010000050000000038
401,457,1.0,0.43142634999999996
402,517,1.0,0.35142779999999996
403,422,0.0,0.009999998
404,391,1.0,0.17000000000000004
405,803,1.0,0.0047895999999999495
406,578,1.0,0.040000000000000036
407,1088,1.0,0.37999994000000004
408,242,1.0,0.5999999300000001
409,1125,0.0,NA
410,274,0.0,0.4899997
411,685,1.0,9.999999999998899e-05
412,585,0.0,0.01
413,229,0.0,0.040000003
414,473,1.0,0.38285464
415,188,0.0,0.009999998
416,934,0.0,0.40298507
417,236,0.0,0.43211192
418,183,0.0,0.01
419,445,1.0,0.020199999999999996
420,478,1.0,0.4628603
421,240,0.0,0.31450802
422,250,1.0,0.46362119999999996
423,249,1.0,0.30000079999999996
424,273,0.0,0.5999999
425,1090,1.0,0.20999999999999996
426,251,0.0,0.48999956
427,991,0.0,0.20248695
428,259,0.0,0.41860926
429,248,0.0,0.36011347
430,258,0.0,0.4361651
431,271,1.0,0.40838104
432,1159,0.0,0.010000001
433,261,0.0,0.49999997
434,504,1.0,0.36571443000000003
435,265,1.0,0.5025117
436,1025,0.0,0.295
437,266,0.0,0.5059263
438,267,0.0,0.41992688
439,275,0.0,0.4323641
440,1054,1.0,0.45999999999999996
441,1211,0.0,NA
442,280,0.0,0.4139303
443,1102,1.0,0.15000004
444,481,1.0,0.44000019999999995
445,269,1.0,0.56487134
446,276,1.0,0.49
447,1116,0.0,0.008197084
448,1212,0.0,NA
449,291,0.0,0.55030364
450,1098,1.0,0.44999999999999996
451,502,1.0,0.2571434
452,235,0.0,0.5
453,690,0.0,0.15000002
454,591,0.0,0.7315789
455,659,0.0,9.999999e-05
456,52,1.0,0.09999996
457,308,0.0,NA
458,412,1.0,NA
459,501,0.0,0.43999964
460,686,0.0,0.2
461,1079,0.0,NA
462,669,0.0,0.05999999
463,331,1.0,0.39946466999999997
464,1137,0.0,0.010000001
465,571,0.0,0.73157877
466,784,0.0,NA
467,238,0.0,0.65668064
468,594,0.0,0.53007394
469,550,0.0,NA
470,482,1.0,0.39999986
471,692,0.0,0.17000002
472,1133,0.0,0.008176844
473,485,1.0,0.42000210000000004
474,599,0.0,0.7315792
475,691,0.0,0.17
476,357,1.0,0.010000050000000038
477,628,0.0,0.01
478,169,1.0,0.040000000000000036
479,1105,0.0,NA
480,1043,0.0,0.009999999
481,569,0.0,0.36315787
482,78,1.0,0.09499999999999997
483,590,0.0,0.45161292
484,605,0.0,0.5281212
485,295,0.0,0.2793947
486,1051,0.0,0.029999997
487,394,1.0,0.05000009999999999
488,603,0.0,0.3336997
489,630,0.0,0.040000003
490,604,0.0,0.41578937
491,277,1.0,0.45919794
492,782,0.0,0.10899321
493,615,0.0,0.019999998
494,790,0.0,0.6330688
495,299,0.0,0.40999994
496,301,0.0,0.3181091
497,635,0.0,0.059850693
498,648,1.0,0.08000004000000005
499,241,1.0,0.5000002
500,676,0.0,NA
501,289,0.0,0.288879
502,204,0.0,0.040000003
503,16,0.0,0.05
504,243,0.0,0.54234314
505,923,1.0,0.38
506,1110,0.0,0.029999996
507,853,1.0,0.010000000000000009
508,272,0.0,0.29999998
509,19,1.0,0.030000029999999955
510,451,0.0,0.009999999
511,172,0.0,0.014258624
512,76,0.0,0.03587655
513,222,0.0,0.45328832
514,103,0.0,0.03383561
515,192,0.0,0.014258624
516,193,1.0,0.018600759999999994
517,438,1.0,0.39
518,492,1.0,0.2714295
519,84,0.0,0.014258624
520,428,0.0,0.01
521,458,1.0,0.46856810000000004
522,270,1.0,NA
523,459,0.0,0.010000001
524,814,1.0,0.007122929999999972
525,189,0.0,0.010000002
526,199,0.0,9.999998e-05
527,398,0.0,0.009999998
528,472,1.0,0.24857149999999995
529,719,0.0,0.019999998
530,194,0.0,0.014258622
531,1083,0.0,0.2
532,187,1.0,0.40093565
533,61,0.0,0.5499998
534,51,0.0,0.13
535,503,1.0,0.33142799999999994
536,1063,1.0,0.06000006000000002
537,225,0.0,0.41000003
538,244,0.0,0.52122796
539,489,1.0,0.35428669999999995
540,500,1.0,0.24294740000000004
541,279,1.0,0.39449290000000004
542,679,0.0,0.04417993
543,505,1.0,0.3942861
544,475,1.0,0.23430306
545,304,1.0,0.33999999999999997
546,303,0.0,0.5194738
547,658,0.0,0.31429142
548,471,0.0,0.42000073
549,368,0.0,NA
550,490,0.0,0.5
551,524,1.0,0.474287
552,512,1.0,0.4314245
553,220,0.0,0.014258624
554,361,1.0,0.030000099999999974
555,153,0.0,0.013438558
556,372,0.0,0.0068532573
557,179,0.0,0.040000003
558,410,0.0,0.011064538
